Country,Year,Technology or Sector,Topic,Indicator,Indicator Categories,Unit,Value,Number of observations,updated_at
Canada,2014,Non-energy,Employment,Gender wage gap by contract type,Temporary contract,Percent,-0.949061393737793,37542,1659539394367
United Kingdom,2014,Total,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-19.658939361572266,77220,1659539394367
Czech Republic,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by firm size,Medium,Percent,-5.81819486618042,1250,1659539394367
Slovenia,2014,Important energy consumers,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-70.34326934814453,433,1659539394367
Germany,2014,Energy,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-12.791410446166992,6924,1659539394367
Belgium,2018,Important energy consumers,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-6.140233993530273,1618,1659539394367
Italy,2010,Total,Employment,Gender wage gap,,Percent,-4.618585109710693,107610,1659539394367
Sweden,2010,Non-energy,Employment,Gender wage gap,,Percent,-14.911399841308594,131709,1659539394367
Hungary,2010,Total,Employment,Gender employment gap,,Percent,-7.211935997009277,491444,1659539394367
Germany,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by contract type,Permanent contract,Percent,-22.04302978515625,4001,1659539394367
Portugal,2014,Energy,Employment,Gender employment gap by education level,Upper secondary education,Percent,-66.99051666259766,958,1659539394367
Norway,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by education level,Upper secondary education,Percent,-6.433537006378174,6252,1659539394367
Portugal,2014,Important energy consumers,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-3.512367010116577,516,1659539394367
Canada,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by contract type,Temporary contract,Percent,-91.5960922241211,633,1659539394367
Poland,2010,Energy generation and distribution,Employment,Gender wage gap by contract type,Permanent contract,Percent,-21.193069458007812,9375,1659539394367
Hungary,2010,Important energy consumers,Employment,Gender employment gap by contract type,Temporary contract,Percent,-80.98811340332031,141,1659539394367
Canada,2014,Important energy consumers,Employment,Gender wage gap conditional on skills by education level,Tertiary education,Percent,-15.517829895019531,4733,1659539394367
Italy,2014,Total,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-17.658119201660156,13312,1659539394367
Spain,2010,Energy generation and distribution,Employment,Gender employment gap by firm size,Large,Percent,-70.98908996582031,746,1659539394367
Canada,2010,Total,Employment,Gender wage gap by contract type,Permanent contract,Percent,-16.5781192779541,261263,1659539394367
Lithuania,2010,Energy,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-1.1127409934997559,45,1659539394367
Italy,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by education level,Tertiary education,Percent,-47.846588134765625,173,1659539394367
Croatia,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by education level,Upper secondary education,Percent,10.492409706115723,221,1659539394367
France,2010,Energy generation and distribution,Employment,Gender gap in hours worked by firm size,Large,Percent,-2.5107860565185547,1791,1659539394367
Australia,2018,Total,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-23.693510055541992,70,1659539394367
Latvia,2010,Energy generation and distribution,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-1.3199050426483154,218,1659539394367
France,2018,Non-energy,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-7.787525177001953,67102,1659539394367
Norway,2014,Non-energy,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,4.755173206329346,129733,1659539394367
France,2010,Important energy consumers,Employment,Gender gap in hours worked by contract type,Temporary contract,Percent,-10.594079971313477,105,1659539394367
Bulgaria,2014,Total,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-12.475970268249512,26732,1659539394367
France,2010,Energy,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-6.253169059753418,2791,1659539394367
Poland,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by firm size,Large,Percent,-87.9078369140625,1012,1659539394367
Bulgaria,2010,Energy generation and distribution,Employment,Gender wage gap by firm size,Large,Percent,-23.459030151367188,2267,1659539394367
Finland,2014,Important energy consumers,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-11.086039543151855,1108,1659539394367
United Kingdom,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap,,Percent,-23.362699508666992,991,1659539394367
Romania,2018,Non-energy,Employment,Gender wage gap by contract type,Permanent contract,Percent,-4.07273006439209,135692,1659539394367
Croatia,2014,Important energy consumers,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-1.078961968421936,686,1659539394367
Germany,2018,Important energy consumers,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-73.72048950195312,1727,1659539394367
Slovenia,2018,Energy generation and distribution,Employment,Gender wage gap conditional on skills by firm size,Small,Percent,-15.920249938964844,346,1659539394367
Finland,2014,Energy,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-3.897753953933716,2667,1659539394367
Belgium,2010,Total,Employment,Gender wage gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-12.760729789733887,15065,1659539394367
Spain,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked,,Percent,-10.312529563903809,1694,1659539394367
Norway,2014,Total,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-16.25667953491211,496766,1659539394367
Malta,2014,Important energy consumers,Employment,Gender employment gap by contract type,Permanent contract,Percent,-80.72396087646484,337,1659539394367
Norway,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by contract type,Permanent contract,Percent,-90.52092742919922,16404,1659539394367
Norway,2014,Total,Employment,Gender wage gap conditional on skills by contract type,Temporary contract,Percent,-7.435637950897217,33865,1659539394367
Italy,2018,Total,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-14.983329772949219,16944,1659539394367
Romania,2010,Energy generation and distribution,Employment,Gender employment gap by education level,Upper secondary education,Percent,-76.8743896484375,2632,1659539394367
Slovak Republic,2018,Energy generation and distribution,Employment,Gender employment gap by education level,Tertiary education,Percent,-45.9034309387207,4556,1659539394367
Slovak Republic,2014,Energy generation and distribution,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-23.952289581298828,6381,1659539394367
Estonia,2014,Important energy consumers,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-9.076624870300293,703,1659539394367
Croatia,2014,Energy generation and distribution,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-6.380005836486816,328,1659539394367
Lithuania,2018,Non-energy,Employment,Gender employment gap,,Percent,50.94755935668945,16629,1659539394367
Romania,2014,Non-energy,Employment,Gender wage gap conditional on skills by contract type,Temporary contract,Percent,-13.276729583740234,3087,1659539394367
Cyprus,2010,Energy generation and distribution,Employment,Gender employment gap by education level,Upper secondary education,Percent,-66.2044906616211,138,1659539394367
Spain,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by education level,Tertiary education,Percent,-15.94021987915039,1022,1659539394367
Portugal,2014,Energy generation and distribution,Employment,Gender wage gap by firm size,Medium,Percent,-11.628310203552246,316,1659539394367
Estonia,2018,Non-energy,Employment,Gender wage gap conditional on skills by education level,Less than upper secondary education,Percent,-23.670730590820312,5216,1659539394367
Germany,2014,Total,Employment,Gender wage gap by firm size,Small,Percent,-15.453760147094727,114661,1659539394367
Slovenia,2018,Important energy consumers,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,15.271829605102539,598,1659539394367
Belgium,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by firm size,Small,Percent,-4.215950965881348,1459,1659539394367
Netherlands,2010,Important energy consumers,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-32.518310546875,424,1659539394367
Luxembourg,2014,Energy,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,-94.0280990600586,132,1659539394367
Spain,2010,Energy,Employment,Gender wage gap by contract type,Permanent contract,Percent,-5.567869186401367,5720,1659539394367
Croatia,2014,Important energy consumers,Employment,Gender employment gap by contract type,Temporary contract,Percent,-82.72911834716797,120,1659539394367
Spain,2010,Non-energy,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-5.651830196380615,34281,1659539394367
Hungary,2010,Non-energy,Employment,Gender employment gap by firm size,Medium,Percent,42.929969787597656,151738,1659539394367
Belgium,2010,Energy,Employment,Gender wage gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-16.810710906982422,439,1659539394367
Lithuania,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by firm size,Small,Percent,-10.652689933776855,70,1659539394367
Norway,2010,Energy,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,-85.49623107910156,8113,1659539394367
Slovak Republic,2014,Non-energy,Employment,Gender wage gap by contract type,Temporary contract,Percent,-16.214889526367188,63355,1659539394367
Finland,2010,Energy,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-4.087728023529053,7993,1659539394367
Italy,2010,Non-energy,Employment,Gender wage gap by education level,Tertiary education,Percent,-13.975700378417969,20372,1659539394367
Denmark,2018,Energy,Employment,Gender gap in hours worked by firm size,Small,Percent,-4.4497761726379395,10425,1659539394367
Croatia,2010,Total,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,13.829339981079102,9365,1659539394367
Romania,2018,Energy generation and distribution,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-26.819549560546875,2396,1659539394367
Spain,2010,Non-energy,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-15.32748031616211,21681,1659539394367
Finland,2014,Total,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-4.950703144073486,21911,1659539394367
Czech Republic,2018,Important energy consumers,Employment,Gender wage gap conditional on skills by contract type,Permanent contract,Percent,-9.011659622192383,44000,1659539394367
Belgium,2014,Non-energy,Employment,Gender employment gap by contract type,Temporary contract,Percent,21.53455924987793,6697,1659539394367
Romania,2014,Important energy consumers,Employment,Gender employment gap by education level,Tertiary education,Percent,-36.59416961669922,1416,1659539394367
Greece,2018,Energy,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-13.276000022888184,293,1659539394367
Malta,2014,Important energy consumers,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-8.530508041381836,280,1659539394367
Czech Republic,2014,Energy,Employment,Gender employment gap by firm size,Medium,Percent,-67.13301086425781,9723,1659539394367
Luxembourg,2014,Non-energy,Employment,Gender wage gap conditional on skills by education level,Upper secondary education,Percent,-2.913296937942505,2990,1659539394367
France,2014,Energy generation and distribution,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-28.1276798248291,172,1659539394367
Greece,2014,Total,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-2.8442819118499756,4646,1659539394367
Netherlands,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-33.91722106933594,451,1659539394367
Italy,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-21.758100509643555,335,1659539394367
Czech Republic,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by firm size,Large,Percent,-79.5301284790039,5190,1659539394367
Latvia,2018,Energy generation and distribution,Employment,Gender wage gap,,Percent,-12.33411979675293,2825,1659539394367
Slovak Republic,2010,Important energy consumers,Employment,Gender employment gap by education level,Tertiary education,Percent,-54.21620178222656,3584,1659539394367
Greece,2018,Important energy consumers,Employment,Gender employment gap by education level,Tertiary education,Percent,-43.845401763916016,302,1659539394367
Germany,2010,Energy,Employment,Gender wage gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-11.295809745788574,10860,1659539394367
Belgium,2018,Important energy consumers,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-5.942018985748291,2636,1659539394367
Slovak Republic,2010,Non-energy,Employment,Gender gap in hours worked by firm size,Large,Percent,-2.1196389198303223,233365,1659539394367
Greece,2010,Total,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-1.579211950302124,7362,1659539394367
Luxembourg,2010,Non-energy,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-9.614297866821289,1584,1659539394367
Sweden,2014,Energy generation and distribution,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-6.663492202758789,859,1659539394367
Estonia,2010,Energy generation and distribution,Employment,Gender employment gap by contract type,Temporary contract,Percent,-77.50953674316406,24,1659539394367
Poland,2014,Energy,Employment,Gender wage gap conditional on skills by contract type,Permanent contract,Percent,-21.250879287719727,22432,1659539394367
Spain,2010,Important energy consumers,Employment,Gender gap in hours worked by contract type,Temporary contract,Percent,-12.788290023803711,409,1659539394367
Spain,2010,Energy,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-6.912236213684082,1761,1659539394367
Croatia,2010,Important energy consumers,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-31.541540145874023,355,1659539394367
Denmark,2018,Non-energy,Employment,Gender wage gap conditional on skills by education level,Less than upper secondary education,Percent,-11.492349624633789,126750,1659539394367
Finland,2010,Energy,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-20.466890335083008,3123,1659539394367
Slovak Republic,2014,Important energy consumers,Employment,Gender employment gap by firm size,Medium,Percent,-77.78692626953125,4264,1659539394367
United Kingdom,2010,Important energy consumers,Employment,Gender employment gap by firm size,Large,Percent,-74.70004272460938,951,1659539394367
Slovenia,2014,Important energy consumers,Employment,Gender wage gap conditional on skills,,Percent,-2.479562997817993,2203,1659539394367
Latvia,2014,Energy generation and distribution,Employment,Gender employment gap by contract type,Temporary contract,Percent,-82.79950714111328,180,1659539394367
Cyprus,2018,Energy,Employment,Gender wage gap by contract type,Temporary contract,Percent,-17.3134708404541,163,1659539394367
Poland,2014,Energy generation and distribution,Employment,Gender wage gap conditional on skills by education level,Tertiary education,Percent,-27.508689880371094,5099,1659539394367
France,2018,Non-energy,Employment,Gender gap in hours worked by contract type,Temporary contract,Percent,-8.774053573608398,10082,1659539394367
Luxembourg,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-19.23542022705078,251,1659539394367
Croatia,2018,Non-energy,Employment,Gender wage gap by firm size,Medium,Percent,-11.912469863891602,15694,1659539394367
Canada,2010,Important energy consumers,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-28.57634925842285,1968,1659539394367
France,2018,Non-energy,Employment,Gender gap in hours worked by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-7.6403961181640625,14715,1659539394367
Portugal,2010,Important energy consumers,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-18.448999404907227,635,1659539394367
Belgium,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-90.88511657714844,414,1659539394367
Poland,2014,Important energy consumers,Employment,Gender gap in hours worked by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-2.5168509483337402,2057,1659539394367
Czech Republic,2010,Non-energy,Employment,Gender gap in hours worked by firm size,Large,Percent,-1.5435270071029663,559927,1659539394367
Hungary,2014,Total,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-33.8638916015625,54910,1659539394367
Slovak Republic,2010,Energy,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-3.950486898422241,37691,1659539394367
Poland,2014,Non-energy,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-14.059789657592773,15110,1659539394367
United States,2014,Energy generation and distribution,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-17.052030563354492,549,1659539394367
Germany,2014,Energy generation and distribution,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-17.59246063232422,4137,1659539394367
Hungary,2018,Non-energy,Employment,Gender wage gap by firm size,Small,Percent,-4.211423873901367,90297,1659539394367
Hungary,2014,Non-energy,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,47.59934997558594,351027,1659539394367
Finland,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-13.90509033203125,101,1659539394367
Norway,2018,Total,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-6.393990993499756,513685,1659539394367
Luxembourg,2014,Energy,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-10.33961009979248,198,1659539394367
Belgium,2014,Important energy consumers,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-2.640079975128174,1134,1659539394367
United States,2014,Non-energy,Employment,Gender wage gap conditional on skills by education level,Upper secondary education,Percent,-18.047719955444336,29399,1659539394367
Australia,2014,Total,Employment,Gender employment gap by education level,Upper secondary education,Percent,-51.26182174682617,81,1659539394367
France,2014,Energy,Employment,Gender employment gap by education level,Upper secondary education,Percent,-80.96365356445312,2118,1659539394367
Bulgaria,2010,Energy,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-20.60910987854004,3465,1659539394367
Slovak Republic,2018,Total,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-3.14090895652771,33438,1659539394367
Denmark,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by contract type,Temporary contract,Percent,-14.922459602355957,92,1659539394367
Spain,2014,Energy,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-8.121607780456543,1722,1659539394367
Slovak Republic,2014,Non-energy,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-2.6016910076141357,304761,1659539394367
Canada,2010,Total,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-21.69778060913086,55758,1659539394367
Sweden,2010,Important energy consumers,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-6.54534912109375,305,1659539394367
Portugal,2014,Energy generation and distribution,Employment,Gender wage gap conditional on skills by education level,Tertiary education,Percent,-32.382511138916016,315,1659539394367
United Kingdom,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by contract type,Temporary contract,Percent,-22.13381004333496,29,1659539394367
Greece,2010,Energy,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-5.264451026916504,190,1659539394367
Canada,2014,Non-energy,Employment,Gender wage gap by firm size,Medium,Percent,-13.13679027557373,35339,1659539394367
Poland,2014,Total,Employment,Gender wage gap by firm size,Medium,Percent,1.8628530502319336,103968,1659539394367
Lithuania,2010,Energy generation and distribution,Employment,Gender gap in hours worked by firm size,Small,Percent,-13.467900276184082,165,1659539394367
Finland,2014,Non-energy,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-11.375410079956055,19638,1659539394367
